Period,Team,Start Time,End Time,From,To,Start X,Start Y,End X,End Y,progression,angle,distance_goal,nearest_opponent,count_2m,count_6m,speed,eliminated,danger_score
1,Home,85.72,87.36,Player6,Player10,1.0,0.01,0.9,0.09,0.06798104307981612,0.6246850925114761,0.4220189569201839,0.08944782222055495,0.0,0.0,0.078086880944303,0.0,0.5622635186938829
1,Home,90.52,91.56,Player10,Player9,0.89,0.14,0.92,0.47,0.2909905670411989,0.9788724080760348,0.08544003745317529,0.0037507332616436738,1.0,4.0,0.3186161831880921,2.0,0.8799437831432669
1,Away,147.0,148.12,Player19,Player21,0.49,0.5,0.58,0.52,-0.0903447251418763,-0.9761654520188086,0.5803447251418763,0.13495903119095065,0.0,0.0,0.08231736122582899,0.0,0.16023745088637573
1,Away,151.2,152.2,Player21,Player20,0.57,0.53,0.58,0.73,-0.05315017187904647,-0.10236095660125637,0.6239390995922599,0.10238859018464892,0.0,0.0,0.2002498439450078,0.0,0.3329887150828742
1,Away,153.16,154.16,Player20,Player22,0.57,0.76,0.52,0.98,-0.08117403621108199,-0.2030486481656462,0.7076722405181654,0.07569085347649344,0.0,0.0,0.22561028345356954,1.0,0.32855036382257724
1,Away,155.28,156.28,Player22,Player17,0.55,0.95,0.69,0.87,-0.07230964506494053,-0.35780606975208273,0.7829431652425353,0.07264591179137336,0.0,0.0,0.1612451549659709,0.0,0.26356374709045843
1,Away,157.2,159.76,Player17,Player25,0.71,0.86,0.93,0.55,-0.13529035407954948,-0.14738647986527248,0.9313431161500042,0.1801718318716886,0.0,0.0,0.14848888913084526,0.0,0.1618609789764414
1,Home,175.44,177.8,Player1,Player10,0.49,1.01,0.55,0.84,0.1572453707221355,0.9021272835291271,0.564003546088143,0.023594247180192117,0.0,3.0,0.07638879820898241,2.0,0.713289026784916
1,Away,202.28,203.24,Player22,Player19,0.58,1.01,0.57,0.89,0.08168225859270484,0.7204119494560927,0.6906518659932803,0.05041476371064334,0.0,2.0,0.1254332768624187,0.0,0.54729783173763
1,Home,205.96,208.08,Player2,Player1,0.24,0.82,0.32,0.89,0.04072062123289166,0.43805898435224444,0.7839005038906404,0.03911730179856483,0.0,1.0,0.05014219722988034,2.0,0.5198962705998389
1,Away,215.4,216.48,Player17,Player20,0.59,0.89,0.54,0.85,0.06374216667563015,0.9958712157497818,0.6435060217278468,0.054683837648797154,0.0,1.0,0.059288187383638336,1.0,0.6174440998073161
1,Away,217.24,218.84,Player20,Player18,0.55,0.83,0.45,0.5,0.19140470843298302,0.7410609331172057,0.45,0.024744700442721052,0.0,1.0,0.2155117456195841,3.0,0.7594687104540666
1,Home,225.08,226.52,Player1,Player2,0.14,0.6,0.18,0.53,0.0452458359000969,0.593092800426612,0.8205485969764376,0.053366612221500444,0.0,1.0,0.05598790102985109,2.0,0.5292889063053966
1,Home,226.52,227.4,Player2,Player8,0.18,0.53,0.24,0.4,0.05399788110696557,0.45196997682399254,0.766550715869472,0.11962342997924776,0.0,0.0,0.16270251208268668,2.0,0.48207455650432857
1,Home,230.44,232.36,Player8,Player10,0.39,0.29,0.6,0.09,0.07233550498678498,0.4602054889851991,0.5728001396647875,0.1311318592104909,0.0,0.0,0.1510416666666654,2.0,0.5301870241544822
